user_id,city,latitude,longitude,distance_to_origin_km,total_network_time,average_request_time,successful_requests,failed_requests
0,"Miami, FL",25.7617,-80.1918,1578.4316387621463,0.47658348083496094,0.023829174041748048,20,0
1,"New York, NY",40.7128,-74.006,321.98313785743403,0.34412050247192383,0.017206025123596192,20,0
2,"New York, NY",40.7128,-74.006,321.98313785743403,0.2691502571105957,0.013457512855529786,20,0
3,"Miami, FL",25.7617,-80.1918,1578.4316387621463,0.437577486038208,0.0218788743019104,20,0
4,"Miami, FL",25.7617,-80.1918,1578.4316387621463,0.4195990562438965,0.020979952812194825,20,0
5,"New York, NY",40.7128,-74.006,321.98313785743403,0.28801774978637695,0.014400887489318847,20,0
6,"Philadelphia, PA",39.9526,-75.1652,209.68047525372904,0.28629541397094727,0.014314770698547363,20,0
7,"Dallas, TX",32.7767,-96.797,1887.3483353355678,0.4785630702972412,0.02392815351486206,20,0
8,"San Antonio, TX",29.4241,-98.4936,2227.3892945571724,0.5123569965362549,0.025617849826812745,20,0
9,"Philadelphia, PA",39.9526,-75.1652,209.68047525372904,0.25327038764953613,0.012663519382476807,20,0
